Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Population  by sex,Population  by sex,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Median age by sex,Median age by sex,Median age by sex,Labour force,Labour force by sex,Labour force by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Working population,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex
Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Male ,Female,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Both sexes,Male,Female,Labour force,Male,Female,Both sexes,Male,Female,Working population,Both sexes,Male,Female,Both sexes,Male,Female
548,548,548,3689,1282,2407,533,41.5,45.5,39.5,1727,809,918,51.8,69.7,42.3,1617,13500,15000,10000,15000,15000,13500
610S,"610, 621 and 632","610, 621 及 632",3131,1463,1668,877,42.2,43.9,40.4,1739,945,794,62.4,72.9,53.3,1688,15000,16500,11250,15500,16500,13500
620S,"620, 622 and 641","620, 622 及 641",3992,1958,2034,963,44.9,42.9,45.6,1767,1107,660,51.3,68.7,36,1722,13950,15000,11000,14500,15000,12750
623,623,623,1298,636,662,961,42.5,40.7,42.7,572,340,232,50.8,64.6,38.7,538,14100,17500,11000,15000,17500,11000
624,624,624,57767,26657,31110,857,43.3,43.3,43.4,29318,15950,13368,57.5,68.7,48.2,27678,15000,16000,11500,15000,16000,13000
625,625,625,58552,27229,31323,869,42.5,43.3,42,30538,16538,14000,60.3,70.8,51.4,28967,15000,16890,12000,15000,16890,13000
626,626,626,23448,10809,12639,855,49,47.9,49.5,11273,6078,5195,52.6,62,44.7,10422,13000,14500,11750,13500,14500,12500
627,627,627,36254,17136,19118,896,38.4,39,38,16723,9370,7353,56.8,67.8,47,15731,13000,15000,10750,13500,15000,11150
628,628,628,84183,40086,44097,909,43.2,42.9,43.4,46234,24766,21468,61.3,69.9,53.7,43520,15000,17000,13000,15000,17000,14000
629,629,629,1032,502,530,947,43.2,44,38.5,407,232,175,48.8,58,40.3,387,11250,15000,7750,11750,15000,8250
631S,631 and 633,631 及 633,11544,5271,6273,840,41.4,42.2,40.9,6228,3023,3205,64.5,70.7,59.5,5996,15800,20000,10700,19000,20000,18000
634,634,634,15701,7504,8197,915,41.1,42.1,40.7,7759,4194,3565,59.8,68.2,52.2,7334,15000,16000,11000,15000,16000,13500
642,642,642,2989,1307,1682,777,44.3,48.4,40.5,1248,632,616,49.5,58,43,1160,12000,15000,10000,13000,15000,10250
651S,651 - 653,651 - 653,9383,4537,4846,936,43.4,44.4,42.6,3608,2280,1328,46.7,61.3,33.1,3343,15000,15000,12000,15000,15000,15000
711S,"711 - 712, 721 and 728","711 - 712, 721 及 728",15389,6792,8597,790,43.5,46.2,41.6,7792,3595,4197,58.1,62,55.2,7430,15500,22000,10250,20000,22000,15000
720,720,720,4403,2032,2371,857,42.2,42.7,41.7,2352,1162,1190,61.8,68,56.8,2240,20000,30000,13000,26250,30000,21250
722S,722 and 727,722 及 727,51066,23549,27517,856,42.4,42.7,42.3,29015,14638,14377,63.9,71.4,57.7,27665,15000,18000,11750,16000,18000,15000
723,723,723,77000,35585,41415,859,44.8,45.3,44.5,38189,20642,17547,56.2,65.8,48,36234,14400,15500,12000,15000,15500,13500
724,724,724,8633,3982,4651,856,42.3,44.5,40.9,4598,2275,2323,61.6,67.1,57.1,4467,16300,24250,11500,20000,24250,15000
725,725,725,6258,2880,3378,853,42.1,44.1,40.5,3176,1590,1586,59.9,68.6,53.2,3074,16000,20000,13500,20000,20000,18000
726,726,726,99152,46630,52522,888,45.3,44,46.3,53687,29180,24507,59.8,69.6,51.2,50869,15000,15680,12250,15000,15680,13500
729,729,729,17666,7723,9943,777,40.3,41.4,39.7,9321,4079,5242,62.1,64.7,60.3,9050,20000,35000,9000,30000,35000,29000
731S,"731, 733 and 754","731, 733 及 754",63117,28923,34194,846,44.9,45.5,44.5,33267,16726,16541,59.7,67.1,53.7,31234,15000,16500,11250,15000,16500,13000
732S,"732, 751 and 753","732, 751 及 753",45818,19520,26298,742,41.9,42.4,41.6,26374,12061,14313,65.8,71.6,61.6,25443,20000,30000,13000,28140,30000,25000
741S,741 - 744,741 - 744,6576,2931,3645,804,42.5,42.9,42.3,3558,1705,1853,65.2,73,59.4,3430,16000,20000,12350,20000,20000,17000
755,755,755,69966,32051,37915,845,46.2,46.7,45.8,35444,18501,16943,56.6,65.4,49.3,33043,14000,15000,12000,14500,15000,13000
756S,756 and 761 - 762,756 及 761 - 762,101165,45900,55265,831,43.4,44,43,55274,27103,28171,62.5,69.2,57.1,52846,18000,20000,15000,20000,20000,18000
757,757,757,209714,97342,112372,866,43.8,44.3,43.6,116860,60540,56320,62.8,71,55.9,111646,16000,19230,13970,18000,19340,16300
758,758,758,48544,21531,27013,797,45.2,45.5,45,23825,12153,11672,54.6,64,47.4,22528,13800,15500,12000,15000,15500,13000
759,759,759,127917,59183,68734,861,44.7,44.6,44.8,65264,34108,31156,57.3,65.8,50.2,61926,15000,16500,12250,15500,16500,14500
811S,811 - 815,811 - 815,3474,2023,1451,1394,39.8,38.7,42.3,1492,728,764,48.4,40.2,60.3,1466,18750,28000,5750,25000,28750,20000
820,820,820,6443,2761,3682,750,41.3,41.6,41.3,3666,1643,2023,64.9,69.8,61.5,3525,18500,25000,12000,21000,25000,20000
821,821,821,1068,448,620,723,42.6,46.6,38.6,658,287,371,68.8,74.2,65.2,639,20000,30000,12000,23750,30000,21250
822,822,822,6257,2726,3531,772,41.1,39.8,41.5,3361,1621,1740,62.3,69.8,56.6,3238,19500,21250,8000,22250,21250,23750
823,823,823,4385,1752,2633,665,40.1,42.5,39.3,2489,1063,1426,65.3,71.2,61.5,2416,17500,30000,9000,25000,30000,20000
824S,824 and 829,824 及 829,2726,1182,1544,766,43.5,46.4,41.6,1470,667,803,61.8,66.4,58.5,1417,13000,18500,7500,18500,18500,18500
825,825,825,3665,1598,2067,773,46.1,49.9,45.1,1925,922,1003,57.7,63.9,53.1,1873,15500,20000,9100,20000,20000,18000
826S,826 and 828,826 及 828,6707,2912,3795,767,47,49.4,44.8,3669,1768,1901,60.8,68.1,55.4,3568,15000,16500,13000,16000,16500,15000
827,827,827,2916,1361,1555,875,47.4,46.5,47.7,1693,886,807,62.2,70.7,55,1628,15000,15500,12000,15000,15500,13500
831,831,831,22100,10181,11919,854,39.2,39.9,38.9,13202,6016,7186,66.4,66.9,65.9,12704,15000,21250,8500,21250,25000,19500
832S,832 and 834,832 及 834,3644,1581,2063,766,40.6,42.8,38.6,2139,941,1198,72,76.9,68.5,2084,19000,40000,7000,35000,45000,25000
833,833,833,67401,30935,36466,848,41.2,41.5,40.9,37316,18065,19251,63.1,67.8,59.2,35338,15000,18000,12000,16000,18000,13970
835,835,835,24355,11467,12888,890,50.1,48.3,51.1,13348,7188,6160,58.8,67.8,51,12780,13500,15000,12250,14000,15000,13000
836,836,836,88272,41376,46896,882,44.7,44.4,44.9,49761,25587,24174,63.2,70.2,57.2,47699,16000,19000,13500,17500,19000,15500
837,837,837,81238,37403,43835,853,45.2,44.8,45.4,43619,21938,21681,60.3,66.9,54.9,41587,16000,19160,13500,18000,19160,15500
838,838,838,106636,48778,57858,843,42,42.2,41.9,58640,29302,29338,62.5,69.3,56.9,55596,16060,20000,13500,18000,20000,15500
839,839,839,30577,13715,16862,813,38.3,38.1,38.4,18454,8544,9910,70.5,75.6,66.6,17774,21250,30000,18000,26000,30000,23000
911S,911 - 913,911 - 913,6014,2746,3268,840,43.2,45.1,42.2,3574,1727,1847,66.1,71.6,61.7,3393,17000,20000,14000,19500,20000,17000
920,920,920,20956,9870,11086,890,47,45.5,47.5,10887,5847,5040,57.1,65.8,49.4,10309,13000,15000,11000,13500,15000,12000
931S,931 and 933,931 及 933,3144,1472,1672,880,44.9,48.5,42.3,1725,909,816,63.1,72.1,55.4,1671,15000,17500,10750,16000,17500,15000
932S,932 and 934,932 及 934,2526,1460,1066,1370,40,41.1,38.6,1076,568,508,48.2,43,55.8,1015,16000,18000,11750,18000,18000,17500
941S,941 - 943,941 - 943,1184,877,307,2857,42.4,39.1,55.1,318,182,136,28,21.4,47.9,318,13000,15000,10050,15000,15000,12000
944,944,944,3283,1633,1650,990,55.9,57.6,53.5,1581,829,752,52.3,55,49.6,1488,12000,14000,10000,13000,14500,12000
950S,950 - 951,950 - 951,86403,40062,46341,865,40.8,40.7,40.8,47178,23920,23258,61.8,68.4,56.2,44522,15000,18000,12250,15500,18000,14500
961S,961 - 963,961 - 963,7403,3920,3483,1125,41.7,41.3,42.7,3651,1917,1734,55.2,55.1,55.3,3532,14500,16000,10000,15000,16000,13000
971S,971 - 974,971 - 974,20408,8978,11430,785,42.2,44.1,41.1,11214,5476,5738,65.8,75.7,58.6,10864,30000,50000,9250,45000,50000,35000
975,975,975,15012,6637,8375,792,41.3,41.6,41.2,8537,3816,4721,67.1,72.4,63.3,8347,25000,31250,18800,30000,31250,25000
976,976,976,5480,2507,2973,843,50.1,50.2,50,2805,1513,1292,55.6,66.9,46.4,2703,14000,15000,10500,14800,15000,13000
