Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Population  by sex,Population  by sex,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Median age by sex,Median age by sex,Median age by sex,Labour force,Labour force by sex,Labour force by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Working population,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex
Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Male ,Female,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Both sexes,Male,Female,Labour force,Male,Female,Both sexes,Male,Female,Working population,Both sexes,Male,Female,Both sexes,Male,Female
173,173,173,58303,27514,30789,894,44.4,44,44.7,31772,16591,15181,61.5,69.5,54.7,30168,13000,15000,11000,14000,15000,12250
174,174,174,86752,38918,47834,814,44.3,44.1,44.4,46653,23386,23267,60.6,68.6,54.2,44897,15500,18000,12750,17500,18000,16000
175S,175 - 176,175 - 176,14465,6739,7726,872,49.6,49.1,50.3,6287,3053,3234,48.3,50.7,46.2,6000,17000,21250,14000,18750,21250,16500
181S,181 - 182,181 - 182,4679,1855,2824,657,39.8,39.2,40.2,2961,1137,1824,71.4,73.5,70.1,2935,7000,70000,4750,65000,100000,41000
183S,183 - 184,183 - 184,4934,1838,3096,594,45,46.1,44.5,2970,1134,1836,66.9,72,64.1,2939,7750,65000,5000,60000,85000,25000
190S,"190, 192 and 194","190, 192 及 194",12364,4946,7418,667,39.4,41.3,38.9,7304,2585,4719,69,69.3,68.8,7104,10000,75000,5000,68000,100000,56000
191,191,191,4400,1685,2715,621,41.8,46.2,40.5,2881,1194,1687,72.3,80.1,67.7,2857,9000,40000,4500,40000,49000,31000
193S,"193, 195 and 198","193, 195 及 198",15256,7601,7655,993,41.9,42.9,40.9,7873,3718,4155,58.2,55.9,60.5,7568,14910,20000,9000,20000,20000,17000
196,196,196,4419,1708,2711,630,40.9,42.2,40.3,2570,972,1598,69.3,72.1,67.7,2531,15000,45000,6000,30000,45000,19000
197,197,197,2153,878,1275,689,42.9,45.8,37.9,1149,583,566,61.6,75.4,51.9,1085,15500,18000,10500,17500,18000,15000
211,211,211,15090,7126,7964,895,45.2,46.3,43.9,8406,4563,3843,62.8,73.3,53.7,8056,15000,17000,11000,16000,17370,15000
212,212,212,17348,7370,9978,739,44.4,44,44.6,9329,4512,4817,58.9,69.6,51.5,8999,15000,20000,10630,17000,20000,15000
213S,213 and 215 - 216,213 及 215 - 216,14238,6125,8113,755,34.7,35,34.4,8159,3714,4445,70.4,76.2,66.2,7898,26250,38750,15500,32000,38750,28000
214,214,214,4218,2103,2115,994,45.9,45.4,46.2,2385,1350,1035,59.1,68.5,50.1,2305,15560,20000,12000,19500,20000,16000
217,217,217,6508,3338,3170,1053,39.3,46.2,31.5,4498,2542,1956,75.1,83.6,66.3,4199,31250,60000,20000,32000,60000,21250
220,220,220,1139,434,705,616,41.6,45.2,37.7,696,280,416,68,75.1,63.9,651,10000,10000,9900,10000,10000,10000
221,221,221,87291,40628,46663,871,43.1,43.8,42.7,47036,24578,22458,60.6,69,53.5,44764,13400,15000,11250,14000,15000,12500
222,222,222,22668,10069,12599,799,43,44.5,42.4,12728,6395,6333,61.7,70,55.2,11853,12600,13980,11400,13500,13980,12250
225,225,225,48272,23592,24680,956,42.4,42.1,42.7,27069,14644,12425,63.2,70.8,56,25870,12000,13500,10750,12250,13500,12000
226,226,226,11612,4861,6751,720,40.6,42.8,39.1,6847,3057,3790,67.7,71.9,64.6,6647,16200,30000,7800,26250,30000,20000
227,227,227,18646,8698,9948,874,46.2,46.6,45.6,10259,5095,5164,59.7,64,55.9,9801,13600,15500,11750,14500,15500,13500
228,228,228,15738,7160,8578,835,45.6,47.5,44.7,8955,4656,4299,62.5,70.8,55.4,8507,13000,14000,11000,13000,14000,12000
229,229,229,17230,7728,9502,813,46,46.8,45.8,9374,4565,4809,59.8,65.1,55.6,8800,11880,13050,10250,12000,13050,11000
231,231,231,6254,2466,3788,651,45.9,47.5,45.3,3083,1295,1788,55.2,59.1,52.7,3042,20000,38750,5070,35000,38750,30000
232,232,232,4617,1794,2823,635,43.9,44.4,43.6,2688,1035,1653,65.3,69.7,62.8,2672,20000,50000,4750,40000,50000,33500
233,233,233,3349,1251,2098,596,46,47.2,45.7,1895,671,1224,64,64.4,63.7,1824,18500,52000,4300,41000,52000,31250
234,234,234,14294,5650,8644,654,46.5,47.6,45.6,6681,2890,3791,52,58.3,48.1,6405,23750,40000,8000,38000,40000,31250
235,235,235,17067,7353,9714,757,44.9,46.9,44.1,9436,4452,4984,61.8,69.1,56.4,9150,20000,29900,12000,25000,29900,23000
236,236,236,28950,13584,15366,884,47.1,46.9,47.2,15147,7968,7179,57.5,65.3,50.9,14438,13500,15000,11250,14400,15000,12250
237,237,237,15163,6806,8357,814,51,50.9,51.1,7378,3815,3563,51.4,59.1,45.2,6938,12750,14500,11400,13000,14500,12000
241,241,241,46095,21847,24248,901,44.9,44.3,45.3,25069,13050,12019,61.1,68.9,54.4,23628,15000,16500,12000,15500,16500,15000
242,242,242,53800,25604,28196,908,40.7,40.3,41,29266,15743,13523,63.3,72.6,55,27771,13000,15000,11000,13680,15000,12000
243,243,243,34435,16106,18329,879,46.3,45.9,46.6,19614,9943,9671,61.9,67.8,56.8,18643,13500,15000,12000,14000,15000,13000
244,244,244,30996,14594,16402,890,39.6,40.6,38.9,17281,9135,8146,63.4,72.1,55.9,16479,17000,20000,13000,20000,20000,17500
245,245,245,48069,21274,26795,794,41.5,42.2,41,27050,13100,13950,63.4,70.1,58.2,25970,19500,21640,15000,20000,21640,20000
246,246,246,17022,6886,10136,679,48.1,47.7,48.4,8778,4138,4640,56.9,67.4,49.9,8441,14500,18000,11250,16500,18000,15000
247,247,247,7255,3463,3792,913,38,37.7,38.4,4135,2180,1955,67.5,75.9,60.1,3888,19050,24000,15000,20000,24000,18480
251S,251 and 256,251 及 256,20313,8534,11779,725,42.4,45.3,40.8,12120,5500,6620,69.4,77.5,63.8,11792,30000,58000,16000,50000,58000,33750
252,252,252,1443,804,639,1258,36.1,34.1,39.6,984,593,391,74.8,84.7,63.6,927,21250,30000,15500,25000,30000,23750
253,253,253,34660,15868,18792,844,44.2,44.5,44.1,18812,9569,9243,61.4,68.5,55.5,17755,16500,19000,14000,18000,19000,18000
254,254,254,20075,9040,11035,819,39.3,39.1,39.5,12120,5576,6544,70.7,74.8,67.5,11816,35000,50000,22000,45000,50000,38500
255S,255 and 269,255 及 269,60265,27891,32374,862,39.7,39.8,39.6,33348,16934,16414,63.6,70.6,57.7,31293,15000,18000,13000,16890,18000,15000
260,260,260,44957,19707,25250,780,42.4,43,41.9,23948,10432,13516,61.2,62.6,60.1,23154,20000,30000,15000,27000,30000,24800
261,261,261,12653,5791,6862,844,42.4,43.5,41.3,6751,3347,3404,60.2,65.9,55.5,6562,13500,15000,12000,14000,15000,13000
262,262,262,16767,7440,9327,798,50.1,51.4,49.3,9187,4578,4609,59.5,66.7,53.7,8746,13000,14500,12000,14000,14500,13000
263,263,263,57452,27026,30426,888,45.7,45.8,45.7,29019,15525,13494,56.7,64.6,49.7,27234,12000,13500,10400,12250,13500,11250
264,264,264,61780,28395,33385,851,44.6,45.1,44.1,33532,17277,16255,61.2,69.7,54.1,31611,13500,15000,12000,14000,15000,13000
265,265,265,20704,9561,11143,858,48.3,48.3,48.2,10690,5629,5061,56.5,65.3,49.1,10188,13000,14800,11000,13120,14800,12000
266,266,266,60161,28982,31179,930,40.4,41,39.9,32157,17494,14663,61.4,71.4,52.5,29704,12000,13950,10000,12000,13950,10250
267,267,267,42488,20753,21735,955,39.9,39.4,40.5,23967,12979,10988,64.6,72.4,57.4,22796,12250,14700,10800,12960,14700,11700
268,268,268,26675,11947,14728,811,45.6,47,45.1,13818,6833,6985,57.8,66.3,51.4,13024,16000,20000,11000,20000,20000,17000
271,271,271,19410,7687,11723,656,41.3,41.1,41.5,11239,4442,6797,67.3,70.3,65.4,10950,20000,40000,5200,40000,40000,36250
272,272,272,11224,4464,6760,660,42,42.5,41.8,6057,2473,3584,63.2,69.9,59.3,5938,20000,45000,5000,35000,45000,30000
280,280,280,39475,17586,21889,803,43.1,42.9,43.3,21447,10729,10718,61.5,70.4,54.6,20472,16000,20000,13500,18000,20000,15900
281,281,281,206097,96038,110059,873,44.1,44.1,44.1,108737,57288,51449,59.3,67.9,51.9,102377,14000,15000,12250,14500,15000,13300
